Peter Luger;United States;New York;1;Steakhouse
Ko;United States;New York;2;Contemporary
Atomix;United States;New York;2;Korean
Wallsé;United States;New York;1;Austrian
Francie;United States;New York;1;Contemporary
Casa Mono;United States;New York;1;Spanish
Le Jardinier;United States;New York;1;French
Sushi Ginza Onodera;United States;New York;1;Japanese
Noda;United States;New York;1;Japanese
Masa;United States;New York;3;Japanese
Kochi;United States;New York;1;Korean
Ichimura at Uchū;United States;New York;2;Japanese
Crown Shy;United States;New York;1;Contemporary
Atera;United States;New York;2;Contemporary
Sushi Noz;United States;New York;1;Japanese
Blue Hill;United States;New York;1;American
Kajitsu;United States;New York;1;Japanese
The Musket Room;United States;New York;1;Contemporary
ZZ’s Clam Bar;United States;New York;1;Seafood
Oxalis;United States;New York;1;Contemporary
Oxomoco;United States;New York;1;Mexican
Jua;United States;New York;1;Korean
Meadowsweet;United States;New York;1;Mediterranean Cuisine
The River Café;United States;New York;1;Contemporary
Jean-Georges;United States;New York;2;Contemporary
Marea;United States;New York;1;Seafood
Blanca;United States;New York;2;Contemporary
odo;United States;New York;1;Japanese
Jungsik;United States;New York;2;Korean
Le Coucou;United States;New York;1;French
Kanoyama;United States;New York;1;Japanese
Gabriel Kreuther;United States;New York;2;Contemporary
Cote;United States;New York;1;Korean
Ai Fiori;United States;New York;1;Italian
Le Bernardin;United States;New York;3;Seafood
Rezdôra;United States;New York;1;Italian
Benno;United States;New York;1;Italian
Aska;United States;New York;2;Scandinavian
Chef's Table at Brooklyn Fare;United States;New York;3;Contemporary
L'Atelier de Joël Robuchon;United States;New York;2;French
Bâtard;United States;New York;1;Contemporary
Caviar Russe;United States;New York;1;Contemporary
Contra;United States;New York;1;Contemporary
L’Appart;United States;New York;1;French
Sushi Yasuda;United States;New York;1;Japanese
Daniel;United States;New York;2;French
Tempura Matsui;United States;New York;1;Japanese
Gramercy Tavern;United States;New York;1;Contemporary
Casa Enrique;United States;New York;1;Mexican
Aquavit;United States;New York;2;Scandinavian
Sushi Nakazawa;United States;New York;1;Japanese
Jeju Noodle Bar;United States;New York;1;Korean
Don Angie;United States;New York;1;Italian
The Clocktower;United States;New York;1;Contemporary
Kosaka;United States;New York;1;Japanese
Carbone;United States;New York;1;Italian
Acadia;United States;Chicago;2;Contemporary
Next;United States;Chicago;1;Contemporary
Porto;United States;Chicago;1;Portuguese
Boka;United States;Chicago;1;Contemporary
Alinea;United States;Chicago;3;Contemporary
Parachute;United States;Chicago;1;Korean
Oriole;United States;Chicago;2;Contemporary
